time_ms;open;high;low;close;xau_compression;xau_failed;usdjpy_breakout;usdjpy_failed;us500_rebound;eurusd_trend
1767571200000;100.0;100.09;99.91;100.0;0;0;0;0;0;0
1767572100000;100.004572813611;100.10277698416238;99.91551427028168;100.00914562722203;0;0;0;0;0;0
1767573000000;100.01820966657746;100.12450642926241;99.93004098260339;100.0272737059329;0;0;0;0;0;0
1767573900000;100.04066742546847;100.15483550130548;99.95328678870263;100.05406114500406;0;0;0;0;0;0
1767574800000;100.07154626867221;100.1932583986551;99.98480438602562;100.08903139234036;0;0;0;0;0;0
1767575700000;100.11029767229782;100.23912611097343;100.02400179353715;100.13156395225529;0;0;0;0;0;0
1767576600000;100.15623536233832;100.29165904166771;100.07015450317502;100.18090677242137;0;0;0;0;0;0
1767577500000;100.2085490105786;100.34996224023776;100.12242025723388;100.23619124873582;0;0;0;0;0;0
1767578400000;100.26632039600707;100.41304293782257;100.17985614873406;100.29644954327831;0;0;0;0;0;0
1767579300000;100.32854170343013;100.47983003237036;100.24143769479355;100.36063386358195;0;0;0;0;0;0
1767580200000;100.39413558761473;100.54919513016127;100.30607949313374;100.4276373116475;0;0;0;0;0;0
1767581100000;100.46197659548042;100.61997471870566;100.37265703992102;100.49631587931334;0;0;0;0;0;0
1767582000000;100.5309135113561;100.69099302296924;100.44002926382849;100.56551114339887;0;0;0;0;0;0
1767582900000;100.5997921716684;100.76108508291162;100.50706131696424;100.63407319993793;0;0;0;0;0;0
1767583800000;100.66747828601852;100.82911958575119;100.57264715844707;100.70088337209913;0;0;0;0;0;0
1767584700000;100.7328798016228;100.89402099128333;100.63573147100965;100.76487623114649;0;0;0;0;0;0
1767585600000;100.79496835753851;100.95479050287973;100.6953304649813;100.82506048393051;0;0;0;0;0;0
1767586500000;100.85279939377871;101.01052546019666;100.75055114705718;100.88053830362692;0;0;0;0;0;0
1767587400000;100.90553050795606;101.06043676164246;100.80060866292793;100.9305227122852;0;0;0;0;0;0
1767588300000;100.95243768792373;101.10386396464992;100.8448413624746;100.97435266356226;0;0;0;0;0;0
1767589200000;100.99292909227435;101.14028775895373;100.88272328301916;101.01150552098645;0;0;0;0;0;0
1767590100000;101.02655610062664;101.1693395614295;100.91387379910415;101.04160668026682;0;0;0;0;0;0
1767591000000;101.05302141135746;101.19080803952113;100.93806424537507;101.0644361424481;0;0;0;0;0;0
1767591900000;101.07218402468689;101.20464243268215;100.95522138116921;101.07993190692568;0;0;0;0;0;0
1767592800000;101.08406101256753;101.2109526063103;100.9654276301085;101.0881901182094;0;0;0;0;0;0
1767593700000;101.08882604237367;101.21000583904429;100.96891809403162;101.08946196653795;0;0;0;0;0;0
1767594600000;101.08680468759289;101.20222041066226;100.96607440663338;101.08414740864782;0;0;0;0;0;0
1767595500000;101.07846662424572;101.18815612282637;100.95741555686087;101.07278583984362;0;0;0;0;0;0
1767596400000;101.0644148752611;101.16850194723172;100.94358587412545;101.05604391067858;0;0;0;0;0;0
1767597300000;101.04537232522348;101.144061054075;100.92534042546177;101.03470073976838;0;0;0;0;0;0
1767598200000;101.02216578355538;101.11573352696917;100.90352812771562;101.00963082734239;0;0;0;0;0;0
1767599100000;100.99570792417244;101.08449711741498;100.87907292458998;100.98178502100248;0;0;0;0;0;0
1767600000000;100.96697747292879;101.05138643173981;100.85295341797038;100.9521699248551;0;0;0;0;0;0
1767600900000;100.93699804987742;101.01747097522212;100.82618137457735;100.92182617489973;0;0;0;0;0;0
1767601800000;100.90681610077432;100.98383250128676;100.79977955201106;100.89180602664891;0;0;0;0;0;0
1767602700000;100.87747837080026;100.95475930219153;100.77154212771173;100.86315071495163;0;0;0;0;0;0
